Date,COP,KWEB,ABNB,RXRX,AAPL,VRTX,ASTS,XSW,GS,RGTI,XLF,DUK,OKLO,UFO,REGN,LMT,QBTS,BABA,EOG,XOM,BEAM,ITB,ARKX,AMGN,AIQ,QTUM,PHM,MU,LIN,TOL,NLR,RTX,AEM,IPAY,MARA,XLI,APD,IDNA,RIOT,VRT,INTC,PACB,AXP,LEU,AMZN,MRK,XHB,PEJ,SNPS,SHW,XLP,DELL,ADBE,TWST,RCL,OKTA,DTCR,SO,UNH,LLY,MS,GLD,STX,LUNR,MAR,FTNT,SMR,COIN,V,MRVL,WFC,KO,WGMI,CDNS,TSM,TXN,IBIT,CIEN,MAGS,QCOM,PLTR,CVX,BIIB,GRID,TAN,JPM,URA,FSLR,COST,FINX,OIH,RKLB,XLRE,AMAT,ZS,XLV,BWXT,LHX,GD,HOOD,XAR,NOC,BAC,WPM,GOOGL,NXT,EDIT,CRSP,PPA,ICLN,JNJ,XOP,CCJ,XBI,JD,KTOS,ASML,KBE,CIBR,GDXJ,IONQ,PDD,PEP,TSLA,ABBV,INTU,FCX,NUE,SPY,CRM,NEM,ENPH,CEG,DAL,PG,MSFT,VST,BEKE,DHI,HACK,ETN,SLB,META,BUG,PFE,COF,B,GDX,UAL,URNM,SMH,CQQQ,PYPL,XLC,AMD,IBB,BIDU,IAI,KBWB,NEE,NTLA,RUN,ITA,NVR,ORCL,AVAV,ARKG,GILD,MA
2023-10-09,6532800,13483200,5092000,2004700,42390800,1429300,2769500,10300,1094400,1739300,61396600,3008500,28000,5100,256700,5343700,904200,10880000,3720000,22369900,923500,2879300,101400,2284300,503000,23300,1444700,8588700,846100,1241800,109400,13726200,2857300,25000,27156300,11059700,584400,16300,16244800,5777500,19376100,3822900,2279400,185000,38773700,5061100,3065200,280900,868400,1140100,15662900,6012500,1713500,558700,3089300,3667300,7500,3845600,2341600,4208100,5125000,10201500,1622600,234900,1615400,4918300,3242400,5631300,5372200,5252700,12096600,15704700,84500,1184500,4781300,2747000,,923600,3800,4714500,106161200,8183500,612000,24400,425200,6964900,2180400,2427500,1781500,28800,685000,3348800,6258000,3271500,3370900,8047600,611300,2746000,3399400,3637400,370100,2864300,39953700,1527000,19278100,1371000,1079600,930800,591600,1910700,4414100,7315900,4228400,9387400,7493800,2323500,738500,1464800,439700,6548200,8915900,8856100,7244500,101377900,2903300,1047700,7766200,1025100,80374400,2781100,13135100,2908500,1258400,14475900,5062200,19891200,3306800,3972500,1659800,84600,1721300,6667700,22503700,78600,17468100,2243900,16477700,23042900,11089400,627400,6840500,187600,10376600,6979700,39593200,2049400,880100,23100,4336200,20644600,794000,10470900,1868700,23700,6012400,563200,1304700,3394000,2475100
2023-10-10,5705500,29144500,5114700,2612500,43698000,966600,1784700,4700,1193800,3955400,44743400,2619500,12000,10400,261400,2626200,2221400,13557800,2833700,13892000,614800,3437700,35200,1808700,369500,11900,2037400,9007600,1335500,2000000,71600,10633900,2016000,19100,25100600,9658200,906200,20900,16776900,8552300,24044100,4445200,2909100,99800,42178600,7177200,3878800,64800,1267700,1277300,18809600,8039300,2090900,1135100,2351900,2157100,11200,4253000,2455700,3526700,6245400,5844000,2068500,158300,1691900,5051000,2523300,5645100,4644000,6941200,14429700,20909700,91800,1657200,7182900,3657400,,862900,4200,6253000,99971500,6512900,689900,22300,3135700,11288800,2672900,3128700,2176800,40700,499200,4345300,4979700,3342900,1927700,8154900,573400,1280000,2340000,4895800,232100,1383600,51960100,1205700,27786600,2419900,1350600,806200,337700,6692000,5273500,4916500,4288500,9503300,7783400,2571800,1087000,4777200,493500,4668400,16382200,9344900,11456400,122656000,3729000,1369300,11390300,1264100,78607300,4503500,9430800,5107800,1464400,12365700,5988900,20557100,5909500,7391800,3249200,101300,1743600,6608900,19038000,122200,19212100,2467900,16698300,18948800,6497600,922600,6790600,494800,17455200,7788400,57105500,1880100,1511800,8500,3783100,23164300,756100,20317400,1165700,30900,6910400,198100,1771500,5040100,2713800
2023-10-11,7300700,20480200,3456500,2181000,47551100,1184600,1464900,6000,1672500,3581700,35746400,2658900,225900,1800,306800,1419500,2370900,11111500,2447400,57939000,659000,2595800,20200,4523100,336900,61400,1979900,11165300,931400,2282800,21500,7349800,2542600,35400,28534800,7806500,845800,21800,16483300,8423300,19262600,4071500,1727000,131300,40741800,5375100,3452000,45800,707900,1470700,18293200,5088600,3307500,458900,1759800,3208900,4100,3908100,2819300,5850600,8928700,7128000,3240600,140200,1379200,9492400,1223100,6474100,4760900,6620600,14835900,21138900,52500,1227800,8051700,4452400,,1215500,16300,6378600,55745600,12570700,814100,30200,839500,8698200,1764100,1869600,1449800,60100,368600,3620000,5178300,5136900,1797500,9591800,566600,918600,1068400,6391400,184200,865800,38508200,1271600,25884300,1790000,954900,962700,338200,4299100,6922900,6067200,5283700,9061100,8762200,1831500,981800,1561100,385400,5868500,9986700,7442500,7371500,103706300,3189800,884200,6235900,1258800,62451700,3971000,9900400,4132300,1353300,14319300,5469100,20063200,6961700,8214000,1974500,77300,1132000,5641100,22036300,151100,24221200,1486800,15916500,22283500,6218600,1070100,8921700,451500,10866200,7686800,51085600,2074000,1854500,8200,815400,22401400,703600,13527900,651100,26700,5641700,206200,1907100,4434100,2055600
2023-10-12,3859500,23762400,4023300,3620200,56743100,1303800,1364900,20100,1727700,2632200,41991200,3172500,149500,2400,308200,1121900,971100,16158100,3039000,31183000,770700,4605200,15600,3052600,254800,17100,2107300,11408700,888400,1950200,29900,6921300,1677300,10800,17753900,8102200,1256300,30400,8765900,6449900,23639200,4982700,2377200,122700,55528600,5124000,5986000,99600,967800,931900,15185000,4301700,4624000,856300,2326600,2786900,13600,4192400,2377300,4063500,11654600,5912700,2374100,235800,1397600,8388300,1161300,5338600,4472800,9195100,14878100,19330400,88900,1085400,8897800,5643300,,1508600,11300,5371700,57940900,7397000,1553800,26200,465900,10484400,1498000,2128700,1458000,91500,381000,4566700,5970000,8109900,1870400,10927700,355700,1249900,851000,7034200,164400,1084200,44249800,1097500,24765500,2063600,1282700,901000,285600,4233800,5792400,4507200,4504300,12711400,32118900,1238800,1618400,2942400,403800,9231900,9742900,8316400,9024100,111508100,4554400,1520700,11862200,2089400,81154200,3548500,8835100,3260100,1299700,29838600,5965600,19313100,3725700,5355100,3818300,125900,2489500,5023100,20530500,93600,21809900,1846900,20656300,22359700,9377100,783300,8554900,104300,13497100,6276900,60959400,2120600,2445000,8700,731700,27972800,979500,12237900,673500,29300,6598500,197600,2690200,4037900,1779000
2023-10-13,5589100,14742100,4926500,2190900,51427100,1360700,1945400,6100,1785200,2497400,53213800,3277000,1035100,7100,526400,1519300,613900,10325500,3573300,30276500,744000,2715700,34600,3473200,232200,20000,1823000,10287900,1214200,1416000,66400,8661900,3528300,18500,18261800,9598000,577400,28500,10907600,6902800,28390100,3718700,2951500,131900,45786600,5787500,4330300,65600,747900,939600,15641000,4633600,2832600,709000,3201900,1394600,8800,3368600,5245400,3963800,6442800,18796500,3446200,120400,1531100,11560900,1932600,6148400,4966800,9176000,28077900,14494600,66500,1306300,7985100,4319100,,1753500,6900,6035600,54541600,8042800,869800,133600,423400,29427000,1331500,1719900,1243900,39700,427000,3795700,5688400,6600500,1379200,11383800,409600,1555100,2151400,5586000,106800,1464500,55089700,2894900,23420500,1516200,1881300,1001000,189000,3163300,5359800,4934900,5325700,12892000,25593600,1097900,1098500,4401400,315300,12285100,8337800,4929200,6757100,102073800,4304700,1627000,9435300,1534800,95143100,3677500,15289700,2802300,1699400,14423600,7078900,21072400,2954600,4366900,2250000,48700,2656100,6819500,21341000,86000,32388100,2246100,20429500,34493700,8257900,822700,9133900,904700,12048500,8251500,52881500,2558500,2459600,8300,827100,22319200,679600,10562800,679600,23700,5879400,550000,1908200,5651800,2235600
2023-10-16,3769500,11162000,2706100,1947900,52517000,1767600,1599700,11700,2273900,1510100,45589300,2993500,19800,5000,381400,1931300,640800,10075300,1993600,18452000,630600,2017800,30700,2459400,514200,36700,1692500,11294100,1182400,1099400,56700,6299700,1711500,43200,52441600,8344100,551500,70400,36847900,4355100,29555800,3958200,2586300,129000,42832900,6473500,3156700,38800,610900,1132900,16172800,5387500,2179700,748900,2011600,1787900,1300,4242000,3827600,2941500,7901500,8385400,2496800,272600,1382600,5498600,1175900,12608600,6227300,9492400,18419000,12816800,327000,1502900,8791800,4872200,,1176500,29900,6254700,44987300,5446000,1227100,32700,454000,12663500,2106800,1424800,1428300,35200,311700,3162800,7719300,6097400,1349800,10545000,487200,1335200,1362400,3913900,211200,959900,56817500,1176400,28501900,2668000,1558200,711000,200400,2699200,6408100,4556700,3941000,9651200,14941800,1676100,1154100,3454000,358500,5056300,6725400,5296700,5605000,88917200,3704400,1063900,10920500,879200,75433200,3623200,10715500,3111100,1701700,10136900,6509800,22158000,3368500,4047800,2256200,56900,1486700,5949900,16536100,143400,63317400,1645500,10680900,16394500,6678600,871600,9461800,126900,14267700,6463500,42464500,2667700,3073200,12100,648400,17089400,695400,11195300,582200,34800,5488000,392800,1466700,6958200,2202100
2023-10-17,4213800,11383400,3073600,2003900,57549400,1674500,1111300,11300,4123000,1440500,41925200,2911500,108100,11900,323100,3103900,747700,8270000,2670000,19775400,621900,3019400,41300,2863200,452700,17800,2057100,11843000,920300,1348000,26800,8035100,2489200,17200,30035000,10707200,780600,23200,18436800,5069000,24993600,4678400,3919400,112300,49344600,5827200,4874800,94300,664600,934100,13192200,4220100,2355300,583500,2335600,2023700,13200,4596300,2586000,2911700,12324800,8231900,5386900,105100,1230900,4774700,1462400,7459500,4527600,8427000,16982300,16457200,110800,1543800,7997100,5098900,,1795100,19900,7334000,54401300,7538300,623200,33700,558000,11482700,2063900,2417400,1404600,89500,313600,2835600,7239500,5915900,1536400,9149900,642400,1161000,1328700,6263900,135100,1175500,95344200,1239400,23515800,1598700,1408300,1235500,274700,2653800,12244400,5084400,7024300,9660100,16078800,1601400,1535700,3504800,354900,7331400,6852700,6531300,6411300,93562900,5372400,1396100,11333800,1097200,75324700,4006100,9371700,3755200,1214600,10331900,6160100,18338500,3255600,3263100,1972800,82000,1149500,6525000,16387800,149800,40015800,2113600,18619600,17620000,11983200,1420100,12857900,80400,10325200,4743600,49642100,2082000,4197100,15400,977000,13365500,927700,10617500,1223800,34300,5261800,395000,1526600,10602200,2176000
2023-10-18,4781900,12914700,4098400,2017300,54764400,1516600,985500,10700,3460300,1586600,46942100,2790100,36600,8900,383800,2024100,985900,9321600,2307600,23380300,893000,4177600,49400,2789100,276800,15500,1751100,11201000,1486600,1064800,33200,7791000,2737000,27500,28487000,13582700,520600,16100,20475400,6822600,22086000,3608100,2632200,116200,42699500,7136400,6712400,33800,605200,1540600,16617700,3434600,2614500,750300,4635600,1282000,3000,3545000,2551400,2049100,34732300,13920800,3180200,138300,1255800,4671300,1763400,5123400,9528300,8792900,16053200,12809500,98600,1437300,9982700,4837500,,1123400,55400,7174500,44208300,6893500,977000,24500,331700,9620300,1631700,1421400,1311900,83800,453400,2860800,8313200,5357900,1205000,10085700,524500,1303600,1092500,5151200,330400,740200,68371100,1687100,23375000,1081200,1484600,1434700,231300,2739100,9097300,5705300,4213100,9369300,13103400,1344200,2401700,3288400,539200,6797100,7830900,5543400,6650600,125147800,4910500,1143100,12195000,1575000,93559800,3380800,10765100,3434300,1050700,14724500,10508500,23153600,3175400,6061600,1788900,60400,2520000,6964100,16851000,84700,30307600,1574900,21635500,23181100,34214100,634900,12530900,96400,10514500,7334200,50450000,2197800,4147200,9300,1145200,13593300,1968800,10137800,790200,28700,5123900,244700,1679400,6781900,1951400
2023-10-19,4491300,14463200,4374400,2512000,59302900,1514700,1823700,8400,3211800,2184600,66656200,3134300,7900,5400,488400,2012400,1130900,12624100,2421300,20972500,2527900,3982200,29200,2536400,305600,28800,2991600,18111000,1249200,1916100,21600,7421400,2789100,32100,31017200,12535100,471900,25300,16767600,8848700,29201800,3595600,4642200,113800,60961400,7647600,7782600,61900,642400,2148400,18237000,4750700,2809300,835500,4056200,1423600,9800,4067000,2351200,3493700,17486100,13406600,2892900,243600,1770700,7383300,4460600,5391200,5927400,10031500,16120300,16202200,112500,1252100,22751600,6041100,,1278100,13100,10511500,46303200,6580200,1225200,396700,1054600,11143600,5918900,1740500,2019600,80300,294100,2846700,10377000,9400300,1903800,15492500,640800,1022600,1156800,5382500,222900,672000,58611000,1390800,26066000,1715000,1127700,1285300,543300,3642900,7733800,5828200,6137600,12490800,13496300,1187200,1475500,4678700,314300,8286600,7664900,7170700,6336800,170772700,6147100,1328300,15584400,1762300,121323000,4995900,13559400,6508400,981000,13407100,8146000,25052100,3717400,4228200,2511100,52400,2001300,7488400,18709200,79900,26880300,3480100,19181700,24517100,14628600,1609900,15718200,186300,16298500,9381400,52734200,4005300,5811300,7300,1503900,11580400,1730400,15639500,1398100,31200,7989200,264300,2580500,5563400,3472800
2023-10-20,5289400,14691400,6195500,2483500,64244000,1389400,1493700,9500,2329000,1330400,59921300,3468400,38400,4600,743100,1715100,1316300,14636200,3425300,22445300,2039800,2620900,45200,2455000,268200,20600,2673000,11506100,1334100,1692900,47000,7995600,4497300,31300,36236400,13641000,669200,49000,20312900,8789400,32303300,3351100,8268100,150300,56406400,12467500,6676900,38500,1002000,1663600,14730500,4617000,2729200,724100,4008900,11018600,6500,4195000,2811100,3666900,11270600,12785700,2198000,162900,2367800,6500800,5711300,8423300,5748300,9822400,17498900,15686400,95800,1361400,12197300,5391500,,1185700,36100,7756500,63875500,7458300,1938400,119800,2242600,13332900,3671900,3188800,2295400,67800,615800,3146800,8556300,6149500,2665600,12296800,598000,1515600,1706100,5349300,100700,920400,62058400,2454000,26335700,5741500,1006800,1501900,155100,6614000,7207000,4780300,4731600,9210200,18606300,1233300,1035000,5624900,447000,8543900,9586900,5789400,5486500,138010100,4223800,1873300,16094400,1570700,123919900,5539100,16801700,14475400,1654400,8364900,7284200,25027700,3267500,4525500,2136100,97300,4930400,13102600,22312300,136400,39407900,2483500,30150200,29715300,11967000,1336100,8128800,77400,20982500,8249500,61317900,2559300,3385900,9600,900700,17798900,1182900,20656100,606300,65500,21831400,318000,1930900,5183700,2652500
